mot,definition
M, Tarehintsoratra faharoa ambin'ny folo ary renisoratra fahasivy amin'ny abidy malagasy.
Ma,"  Feon'ny omby izay somary mitarotaroka no mafy; fitrenan'ny omby. - t.i.f: Mima, fima, mpima ! mahama 1 marna, mimama."
Madama," (fr. madame) a: Teny iantsoana amim-panajana ny vehivavy manambady, miaraka amin'ny anarany na tsia: Tonga i Madama Rakoto. / Lasa nivoaka i Mcd am a, tompoko."
Madera, (dera) p.t: Teny ilazana zavatra manaitra ny maso amin'ny loko marevaka ananany na ny toerana avo misy azy: Madera er? izany akanjonao iz an y.
Maderadera," (dera) p.t: Manerinerina: Madera fatratra ir? trano an-tampon-kavoana i-r?. ? Tsara tazanina, marevaka, mirenty: Maclera er? ny haingon'it? trano it? izany."
Madiafo," na Mahadiafo  (tsy fampiasa loatra intsony) Veloma mandra-pihaona.
mahadiafa be"
Madikidiky," (diky) p.t: Sosotra, tofoka: Nadikidiky tamiko Rabe. - t.i.f.: Mahadikidiky."
Madiky," (diky) p.t: Sosotra, tezitra. • F.-p. (Btl): Ampela madiky: afa-manao ny tsy nampoizina en tin 'ny hasosorana."
Madilana," (dilana) p.t: Misy lempona kely eo afovoany ka mila ho tapaka. * Fiten.: Tsy misy madilana hotentenana na maito hotohizina: ara-bakiteny: (toy ny landy) tsy misy manify na kely andilana hofenoina na tapaka hotohizina; h.o.: Tsara sy feno tanteraka, tsy misy tsy ampy hampiana na simba hamboarina."
Madilo, (dilo)  Mahatsiaro mangintsingitsina any amin'ny sofina sy ny nify any noho ny feon-javatra nddilotra; mahasosotra amin'ny nify na amin'ny sofina: Madilo fa aza akasika amin'ny allia ny antsy. ? h.i.: Dombo (sa-tria raha vy dombo no akapa amin'ny vy hafa dia madilo). i t i.f : Mahadilo. a F.-p.: Madilo ny sofina: e-fa marenina ny sofiko (noho ny fandrenesana ilay zavatra lazafna imbetsaka loatra): Madilo ny sofina amin'ny resaky ny olona momba ny fi-ton d ran- tenanao.
Madina," na Madimadina  Mahimahina, maodimaody ka mitandrintandrina. - t.i.f•: Hamadimadirana.Madina (Bets.) p. mt.: Ihany, fotsiny: Manao akory e? — Soa madina"
Madinika," p. t.: (na majinika, hoy ny fanononan'ny olona matetika) Kely, manify, marotsaka, tsy be maso: Sora tra madinika / Madini-koditava ny an kiz y. • F.-p.: Madini-bolo na madini-drendrika: madini-tenona. 1 Madini-drary: madfnipahana / Vola madinika: ireo vola metaly ampahan'ny ariary, izay nantsohra taloha hoe: vakim-bola, dia ny ventisikirobo, ny iraimbilanja, ny lasiroa, ny fitoventisivoa• mena, ny ilavoamena ary ny varlfitoventy; ankehitriny kosa, antsoina hoe vola me dfnika ireo vola metaly: ny roapolo ariary, ny ariary fo-Io, ny ariary efatra, ny ariary roa, ny ariary, ny ventisikirobo, ny iraimbilanja."
